"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.15679,0.14202,0,-0.074745,1,0.0321,0.0321,0.05,0.005
-0.15721,0.14146,0,-0.074401,1,0.0322,0.0322,0.05,0.005
-0.15763,0.1409,0,-0.074057,1,0.0323,0.0323,0.05,0.005
-0.15804,0.14034,0,-0.073712,1,0.0324,0.0324,0.05,0.005
-0.15846,0.13978,0,-0.073368,1,0.0325,0.0325,0.05,0.005
-0.15887,0.13922,0,-0.073024,1,0.0326,0.0326,0.05,0.005
-0.15929,0.13866,0,-0.07268,1,0.0327,0.0327,0.05,0.005
-0.15971,0.1381,0,-0.072336,1,0.0328,0.0328,0.05,0.005
-0.16012,0.13754,0,-0.071991,1,0.0329,0.0329,0.05,0.005
-0.16054,0.13698,0,-0.071647,1,0.033,0.033,0.05,0.005
-0.16095,0.13642,0,-0.071303,1,0.0331,0.0331,0.05,0.005
-0.16137,0.13586,0,-0.070959,1,0.0332,0.0332,0.05,0.005
-0.16179,0.1353,0,-0.070615,1,0.0333,0.0333,0.05,0.005
-0.1622,0.13474,0,-0.07027,1,0.0334,0.0334,0.05,0.005
-0.16262,0.13418,0,-0.069926,1,0.0335,0.0335,0.05,0.005
-0.16303,0.13362,0,-0.069582,1,0.0336,0.0336,0.05,0.005
-0.16345,0.13306,0,-0.069238,1,0.0337,0.0337,0.05,0.005
-0.16387,0.1325,0,-0.068893,1,0.0338,0.0338,0.05,0.005
-0.16428,0.13194,0,-0.068549,1,0.0339,0.0339,0.05,0.005
-0.1647,0.13138,0,-0.068205,1,0.034,0.034,0.05,0.005
-0.16511,0.13082,0,-0.067861,1,0.0341,0.0341,0.05,0.005
-0.16553,0.13026,0,-0.067517,1,0.0342,0.0342,0.05,0.005
